"","Astrocytes","Neurons","Proliferating","Progs.","RG","Mural","Myeloid","Endothelial","SYMBOL"
"CRIM1","0.04720280","0.16380256","0.05675955","0.04124589","0.08971410","0.07622072","0.01923077","0.17591125","CRIM1"
"EGR4","0.005244755","0.003290676","0.004127967","0.002190047","0.007722642","0.001587932","0.002747253","0.003169572","EGR4"
"TNFAIP6","0.000000000","0.001096892","0.005779154","0.002190047","0.009694381","0.008733624","0.000000000","0.007923930","TNFAIP6"
"DPP4","0.005244755","0.003656307","0.009700722","0.006935150","0.044035491","0.125446606","0.004120879","0.012678288","DPP4"
"TSEN2","0.10489510","0.12687386","0.14324045","0.07908505","0.13177785","0.07344184","0.02747253","0.05705230","TSEN2"
"MKRN2","0.17482517","0.14808044","0.24355005","0.11558584","0.20374630","0.22032553","0.11813187","0.09825674","MKRN2"
"NR2C2","0.06993007","0.08957952","0.10629515","0.05584621","0.13029905","0.08614530","0.03296703","0.06814580","NR2C2"
"LIMD1","0.057692308","0.033272395","0.040866873","0.024698868","0.040420638","0.025803890","0.008241758","0.034865293","LIMD1"
"ABHD14A","0.18181818","0.23363803","0.23942208","0.12726609","0.26700624","0.33584756","0.05219780","0.08874802","ABHD14A"
"ACTR8","0.06643357","0.06983547","0.08235294","0.03978586","0.08347026","0.09329099","0.08516484","0.03803487","ACTR8"
"VGLL3","0.048951049","0.016453382","0.014035088","0.006813481","0.021524811","0.013497420","0.001373626","0.000000000","VGLL3"
"QTRT2","0.06118881","0.03985375","0.07471620","0.04416596","0.06457443","0.03691941","0.02747253","0.06656101","QTRT2"
"PTX3","0.020979021","0.040950640","0.081320949","0.038325830","0.039763391","0.048828900","0.006868132","0.000000000","PTX3"
"RUBCN","0.05594406","0.06032907","0.05098039","0.02019710","0.05175813","0.02977372","0.01510989","0.03011094","RUBCN"
"FGFRL1","0.034965035","0.034734918","0.066047472","0.037839153","0.086592179","0.045256054","0.009615385","0.009508716","FGFRL1"
"LAP3","0.15909091","0.07531993","0.19731682","0.08662854","0.15083799","0.15283843","0.14835165","0.09508716","LAP3"
"DCUN1D4","0.10314685","0.16636197","0.19339525","0.09745711","0.17466316","0.16196904","0.04807692","0.07290016","DCUN1D4"
